Year,Month,Locality,Households Served,Individuals Served,Pounds of Food Distributed,Children Served via non-federal child nutrition programs,Pounds of food distributed via non-federal child nutrition programs
2019,January,Brunswick,56,213,2320,114,2320
2019,January,Chesterfield,1363,1363,6815,1363,6815
2019,January,Greensville,129,538,5079.69,273,5079.69
2019,January,Halifax,161,515,6882.25,273,6882.25
2019,January,Hanover,109,109,545,109,545
2019,January,Henrico,1063,1063,5315,1063,5315
2019,January,Hopewell,508,508,2540,508,2540
2019,January,Mecklenburg,101,368,4253.25,185,4253.25
2019,January,Petersburg,790,790,3950,790,3950
2019,January,Richmond,6280,6280,31400,6280,31400
2019,February,Brunswick,62,236,1799,129,1799
2019,February,Chesterfield,1460,1460,7300,1460,7300
2019,February,Greensville,130,536,4806,268,4806
2019,February,Halifax,164,641,5607,331,5607
2019,February,Hanover,114,114,570,114,570
2019,February,Henrico,1061,1061,5305,1061,5305
2019,February,Hopewell,511,511,2555,511,2555
2019,February,Mecklenburg,105,364,3962,165,3962
2019,February,Petersburg,793,793,3965,793,3965
2019,February,Richmond,6398,6398,31990,6398,31990
2019,March,Brunswick,58,216,2103,111,2103
2019,March,Chesterfield,1048,1048,5240,1048,5240
2019,March,Greensville,116,455,3749,224,3749
2019,March,Halifax,148,561,5796,305,5796
2019,March,Hanover,80,80,400,80,400
2019,March,Henrico,829,829,4145,829,4145
2019,March,Hopewell,390,390,1950,390,1950
2019,March,Mecklenburg,106,384,3061,189,3061
2019,March,Petersburg,603,603,3015,603,3015
2019,March,Richmond,4850,4850,24250,4850,24250
2019,April,Brunswick,70,259,1574,138,1574
2019,April,Chesterfield,1622,1622,8110,1622,8110
2019,April,Greensville,119,480,4409,237,4409
2019,April,Halifax,155,469,4472,236,4472
2019,April,Hanover,107,107,535,107,535
2019,April,Henrico,1298,1298,6490,1298,6490
2019,April,Hopewell,540,540,2700,540,2700
2019,April,Mecklenburg,99,395,3507.5,200,3507.5
2019,April,Petersburg,874,874,4370,874,4370
2019,April,Richmond,7240,7240,36200,7240,36200
2019,May,Brunswick,33,125,2295,68,2295
2019,May,Chesterfield,1353,1353,6765,1353,6765
2019,May,Greensville,100,397,3361,203,3361
2019,May,Halifax,141,549,4552,299,4552
2019,May,Hanover,85,85,425,85,425
2019,May,Henrico,876,876,4380,876,4380
2019,May,Hopewell,446,446,2230,446,2230
2019,May,Mecklenburg,92,348,3181.5,160,3181.5
2019,May,Petersburg,605,605,3025,605,3025
2019,May,Richmond,5177,5177,25885,5177,25885
2019,June,Chesterfield,110,110,550,110,550
2019,June,Greensville,101,381,2589,196,2589
2019,June,Hanover,200,200,1000,200,1000
2019,June,Henrico,200,200,1000,200,1000
2019,June,Hopewell,40,40,200,40,200
2019,June,Mecklenburg,68,239,2573,112,2573
2019,June,Richmond,427,427,2135,427,2135
2019,July,Chesterfield,183,183,915,183,915
2019,July,Greensville,104,378,3475,203,3475
2019,July,Hanover,400,400,2000,400,2000
2019,July,Henrico,726,726,3630,726,3630
2019,July,Hopewell,90,90,450,90,450
2019,July,Mecklenburg,74,288,2404,145,2404
2019,July,Richmond,1300,1300,6500,1300,6500
2019,August,Chesterfield,50,50,250,50,250
2019,August,Greensville,114,452,3275,227,3275
2019,August,Hanover,225,225,1125,225,1125
2019,August,Henrico,402,402,2010,402,2010
2019,August,Mecklenburg,104,402,2552,199,2552
2019,August,Richmond,660,660,3300,660,3300
2019,September,Brunswick,47,185,1381.2,91,1381.2
2019,September,Chesterfield,383,383,1915,383,1915
2019,September,Greensville,127,539,2954.35,263,2954.35
2019,September,Halifax,237,827,6651.75,424,6651.75
2019,September,Hanover,11,11,55,11,55
2019,September,Henrico,152,152,760,152,760
2019,September,Hopewell,46,168,2079.25,72,2079.25
2019,September,Hopewell,71,71,355,71,355
2019,September,Mecklenburg,222,854,6680,409,6680
2019,September,Petersburg,48,219,2599.15,120,2599.15
2019,September,Petersburg,62,62,310,62,310
